Date,Close,High,Low,Open,Volume,Stock Ticker,Sector,Daily_Return,Volatility,SMA_50,SMA_200,EMA_50,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
2022-08-03,1190.656982421875,1192.32438341023,1172.8863956871526,1187.7560986239591,14250977.0,RELIANCE.NS,Energy,,,,,1190.656982421875,,,,,,,,,,
2022-08-04,1174.9193115234375,1195.8649584397738,1158.062355999836,1192.3244951065253,14467127.0,RELIANCE.NS,Energy,-0.013217636255259735,,,,1190.0398188572306,,,,,,,,,,
2022-08-05,1157.6053466796875,1178.0712765976916,1154.3847337642264,1176.7922390518186,13942438.0,RELIANCE.NS,Energy,-0.014736301185908851,,,,1188.7678787718369,,,,,,,,,,
2022-08-08,1172.749267578125,1180.2412740858922,1156.2348803420678,1156.2348803420678,10165178.0,RELIANCE.NS,Energy,0.013082110359868393,,,,1188.139697940711,,,,,,,,,,
2022-08-10,1179.76171875,1183.1421964909127,1168.1353451870384,1177.2034018093864,10724688.0,RELIANCE.NS,Energy,0.0059794973791427175,,,,1187.8111497371538,,,,,,,,,,
2022-08-11,1183.6904296875,1192.278771712202,1178.7109434195304,1189.1723475578433,8198226.0,RELIANCE.NS,Energy,0.003330088504365669,,,,1187.6495528724615,,,,,,,,,,
2022-08-12,1202.83154296875,1206.6460598118545,1179.6247127043816,1183.3249197105126,12650587.0,RELIANCE.NS,Energy,0.016170708828239233,,,,1188.2449250331003,,,,,,,,,,
2022-08-16,1211.1915283203125,1213.9325477572347,1200.2276922424733,1208.8617101328987,6607378.0,RELIANCE.NS,Energy,0.006950254506070674,,,,1189.1447918286774,,,,,,,,,,
2022-08-17,1217.5186767578125,1222.886405749029,1213.133094028372,1217.4501633559391,6595965.0,RELIANCE.NS,Energy,0.00522390413865792,,,,1190.2574931984475,,,,,,,,,,
2022-08-18,1219.7265625,1223.2555436350344,1210.0559903899748,1219.1307211300689,7410035.0,RELIANCE.NS,Energy,0.0018134306966584024,,,,1191.4131429749789,,,,,,,,,,
2022-08-19,1197.979248046875,1219.9098470851989,1193.9001289854964,1214.547517275345,9460724.0,RELIANCE.NS,Energy,-0.017829663730984824,,,,1191.670637291524,,,,,,,,,,
2022-08-22,1194.6563720703125,1205.9768732003308,1185.2150443055014,1199.4229818081733,9471680.0,RELIANCE.NS,Energy,-0.0027737341710885044,,,,1191.7877249299079,,,,,,,,,,
2022-08-23,1213.0809326171875,1216.0141936887906,1187.6670549206476,1188.8816500056364,9678484.0,RELIANCE.NS,Energy,0.015422477105232923,,,,1192.6227526823502,,,,,,,,,,
2022-08-24,1209.8497314453125,1223.7139850665083,1207.8332053117829,1210.0102388759242,10369622.0,RELIANCE.NS,Energy,-0.0026636319844742795,,,,1193.2983204769762,,,,,,,,,,
